"COMPENDEX SOURCE LIST: UPDATED FEBRUARY 1, 2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
International Journal of Database Theory and Application,20054270,-,Science and Engineering Research Support Society,2016,9,12,1-340
International Journal of Design and Nature and Ecodynamics,17557437,17557445,International Information and Engineering Technology Association,2020,15,5,609-762
International Journal of Digital Content Technology and its Applications,19759339,22339310,Advanced Institute of Convergence Information Technology,2012,6,23,1-874
International Journal of E-Adoption,19379633,19379641,IGI Global,2017,9,2,1-76
International Journal of Earth Sciences and Engineering,09745904,-,CAFET-INNOVA Technical Society,2016,09,06,2333-2522
International Journal of Future Generation Communication and Networking,22337857,-,Science and Engineering Research Support Society,2016,9,12,1-414
International Journal of Grid and Distributed Computing,20054262,-,Science and Engineering Research Support Society,2016,9,12,1-368
International Journal of High Performance Computing and Networking,17400562,17400570,Inderscience Publishers,2018,12,4,328-427
International Journal of Hybrid Information Technology,17389968,-,Science and Engineering Research Support Society,2016,9,12,1-410
International Journal of Materials and Structural Integrity,17450055,-,Inderscience Publishers,2018,12,4,277-366
International Journal of Mobile Communications ,1470949X,17415217,Inderscience Publishers,2022,21,1,1-157
International Journal of Multimedia and Ubiquitous Engineering,19750080,-,Science and Engineering Research Support Society,2016,11,12,1-442
International Journal of Online Engineering ,18681646,18612121,Kassel University Press GmbH,2018,14,12,4-201
International Journal of Open Source Software and Processes,19423926,19423934,IGI Global,2017,8,1,1-66
International Journal of Performability Engineering,09731318,-,Totem Publishers Ltd,2020,16,10,1497-1684
International Journal of Safety and Security Engineering,20419031,2041904X,International Information and Engineering Technology Association,2020,10,4,431-578
International Journal of Security and Its Applications,17389976,-,Science and Engineering Research Support Society,2016,10,12,1-418
International Journal of Services Operations and Informatics,1741539X,17415403,Inderscience Enterprises Ltd.,2017,8,4,263-366
International Journal of Services Technology and Management,14606720,1741525X,Inderscience Enterprises Ltd.,2017,23,4,255-347
"International Journal of Signal Processing, Image Processing and Pattern Recognition",20054254,-,Science and Engineering Research Support Society,2016,9,12,1-288
"International Journal of Simulation: Systems, Science and Technology",14738031,1473804X,UK Simulation Society,2016,17,49,0.1-40.4
International Journal of Smart Home,19754094,2383725X,Science and Engineering Research Support Society,2016,10,12,1-244
International Journal of Standardization Research,24708542,24708550,IGI Global,2017,15,1,1-58
International Journal of Sustainable Development and Planning,17437601,1743761X,International Information and Engineering Technology Association,2020,15,7,971-1144
"International Journal of u- and e- Service, Science and Technology",20054246,-,Science and Engineering Research Support Society,2016,9,12,1-450
International Journal of Web Portals,19380194,19380208,IGI Global,2017,9,2,1-84
International Journal on Smart Sensing and Intelligent Systems,11785608,-,Massey University,2016,9,4,1637-2308
International Review on Computers and Software,18286003,18286011,Praise Worthy Prize Inch,2012,7,7,3402-3835
IPPTA: Quarterly Journal of Indian Pulp and Paper Technical Association ,3795462,-,Indian Pulp and Paper Technical Association,2018,30,5,1-721
Jiangsu Daxue Xuebao (Ziran Kexue Ban)/Journal of Jiangsu University (Natural Science Edition),16717775,-,Journal of Jiangsu University (Natural Science Edition),2012,33,6,621-744
Jiefangjun Ligong Daxue Xuebao/Journal of PLA University of Science and Technology (Natural Science Edition),10093443,-,University of Science and Technology,2012,13,6,593-710
Jilin Daxue Xuebao (Diqiu Kexue Ban)/Journal of Jilin University (Earth Science Edition),16715888,-,Jilin University Press,2012,42,6,1581-1985
Jisuan Lixue Xuebao/Chinese Journal of Computational Mechanics,10074708,-,Science Press,2012,29,6,811-988
Jisuan Wuli/Chinese Journal of Computational Physics,1001246X,-,Editorial Board of Chinese Journal of Computational,2012,29,6,791-948
Journal Europeen des Systemes Automatises,12696935,21167087,International Information and Engineering Technology Association,2020,53,5,589-753
Journal of Advanced Microscopy Research,21567573,21567581,American Scientific Publishers,2016,11,2,81-166
Journal of Advanced Oxidation Technologies,12038407,23711175,Sycamore Global Publications LLC,2018,21,1,20160158-20170118
Journal of Biobased Materials and Bioenergy,15566560,15566579,American Scientific Publishers,2016,10,5,323-402
Journal of Biomedical Nanotechnology,15507033,15507041,American Scientific Publishers,2019,15,10,1997-2150
Journal of Bionanoscience,15577910,15577929,American Scientific Publishers,2018,12,6,739-858
Journal of Communications,23744367,17962021,Engineering and Technology Publishing ,2016,11,12,1028-1113
Journal of Computational and Theoretical Nanoscience,15461955,15461963,American Scientific Publishers,2016,13,9,5631-6423
Journal of Computational Information Systems,15539105,-,Binary Information Press,2015,11,21,7633-8001
Journal of Computers (Finland),1796203X,-,Academy Publisher,2013,8,12,3021-3304
Journal of Convergence Information Technology,19759320,22339299,Advanced Institute of Convergence Information Technology,2012,7,23,1-878
Journal of Digital Information Management,9727272,-,Digital Information Research Foundation,2017,15,5,241-300
Journal of Discrete Mathematical Sciences and Cryptography  ,9720529,21690065,TARU Publications,2018,21,6,1177-1478
Journal of Donghua University (English Edition),16725220,-,Editorial Board of Journal of Dong Hua University,2015,32,5,705-894
Journal of Electronic Commerce in Organizations,15392937,15392929,IGI Global,2017,15,4,1-94
Journal of Fiber Bioengineering and Informatics,19408676,-,Binary Information Press,2015,8,4,635-800
Journal of Harbin Institute of Technology (New Series),10059113,-,Harbin Institute of Technology,2015,22,6,1-128
Journal of Industrial Engineering and Management,20138423,20130953,Universitat Politecnica de Catalunya,2015,8,5,1303-1730
Journal of Information and Computational Science,15487741,-,Binary Information Press,2015,12,18,6653-7070
Journal Of Information Hiding And Multimedia Signal Processing,20734212,20734239,Ubiquitous International,2018,9,6,1350-1638
Journal of Information Technology Research,19387857,19387865,IGI Global,2022,15,1,1-15
Journal of Interdisciplinary Mathematics,9720502,2169012X,TARU Publications,2018,21,6,1387-1479
Journal of Low Power Electronics,15461998,15462005,American Scientific Publishers,2016,12,4,295-422
Journal of Mechanical Engineering Research and Developments,10241752,-,Bangladesh University of Engineering and Technology,2016,39,4,793-1107
"Journal of Mines, Metals and Fuels",222755,-,Books and Journals Private Ltd.,2018,66,7,363-404
Journal of Mobile Multimedia,15504646,-,River Publishers,2018,14,4,345-394
Journal of Molecular Catalysis,10013555,-,Science Press,2015,29,6,505-600
Journal of Nanoelectronics and Optoelectronics,1555130X,15551318,American Scientific Publishers,2016,11,6,663-813
Journal of Nanoscience and Nanotechnology,15334880,15334899,American Scientific Publishers,2018,18,12,7983-8446
Journal of New Materials for Electrochemical Systems,14802422,-,International Information and Engineering Technology Association,2020,23,3,151-220
Journal of Residuals Science and Technology,15448053,2376578X,"DEStech Publications, Inc.",2016,13,Supplement 2,S1-S241
Journal of Scientific Exploration,8923310,-,Society For Scientific Exploration,2018,32,4,675-763
Journal of Software Engineering,18194311,21520941,Academic Journals Inc.,2016,10,4,302-465
Journal of the Chinese Cereals and Oils Association,10030174,-,"Editorial Department, Chinese Cereals and Oils Association",2015,30,12,1-146
Journal of the Mine Ventilation Society of South Africa,03683206,-,Mine Ventilation Society of South Africa,2012,65,4,3-23
Journal of Theoretical and Applied Information Technology,19928645,18173195,Asian Research Publishing Network (ARPN),2012,46,2,526-1039
Journal of Water Chemistry And Technology ,1063455X,1934936X,Springer,2017,39,5,257-316
Journal of Web Engineering,15409589,-,River Publishers,2018,17,5,1-94
Kemija u industriji/Journal of Chemists and Chemical Engineers,229830,13349090,Croatian Society of Chemical Engineers,2017,66,11-12,591-718
Kongqi Donglixue Xuebao/Acta Aerodynamica Sinica,2581825,-,Zhongguo Kongqi Dongli Yanjiu yu Fazhan Zhongxin,2012,30,6,693-804
MATEC Web of Conferences,22747214,2261236X,EDP Sciences,2020,313,,00001-00053
Mathematical and Computational Applications,1300686X,22978747,MDPI Multidisciplinary Digital Publishing Institute,2016,21,4,39-50
Metallurgical and Mining Industry,20760507,20788312,Ukrmetallurginform Scientific and Technical Agency Ltd,2015,7,12,6-411
"Modelling, Measurement and Control A",12595985,-,AMSE Press,2017,90,2,116-261
"Modelling, Measurement and Control B",12595969,-,AMSE Press,2017,86,2,335-581
"Modelling, Measurement and Control C",12595977,-,AMSE Press,2017,78,2,125-252
Modern Food Science and Technology,16739078,-,South China University of Technology,2015,31,12,1-425
Modern Tunnelling Technology,10096582,-,Editorial By Modern Tunnelling Technology,2015,52,6,1-212
Nanjing Hangkong Hangtian Daxue Xuebao/Journal of Nanjing University of Aeronautics and Astronautics,10052615,-,Nanjing University of Aeronautics an Astronautics,2012,44,6,769-916
Nanjing Li Gong Daxue Xuebao/Journal of Nanjing University of Science and Technology,10059830,-,Nanjing University of Science and Technology,2012,36,6,909-1074
Nanoscience and Nanotechnology Letters,19414900,19414919,American Scientific Publishers,2016,8,12,1033-1179
Natural Gas Geoscience,16721926,-,Science Press,2015,26,12,2219-2416
Nature Environment And Pollution Technology,9726268,23953454,Technoscience Publications,2021,20,3,909-1380
Naukovyi Visnyk Natsionalnoho Hirnychoho Universytetu,20712227,22232362,National Mining University of Ukraine,2016,,6,5-164
Neiranji Gongcheng/Chinese Internal Combustion Engine Engineering,10000925,-,Chinese Society for Internal Combustion Engines,2015,36,6,1-156
Open Automation and Control Systems Journal,-,18744443,Bentham Science Publishers B.V.,2015,7,,1-2292
Open Biomedical Engineering Journal,-,18741207,Bentham Science Publishers (Bentham Open),2016,10,,1-110
Open Biotechnology Journal,-,18740707,Bentham Science Publishers (Bentham Open),2016,10,,1-406
Open Chemical Engineering Journal,-,18741231,Bentham Science Publishers (Bentham Open),2016,10,,1-109
Open Civil Engineering Journal,-,18741495,Bentham Science Publishers (Bentham Open),2016,10,,1-906
Open Construction and Building Technology Journal,-,18748368,Bentham Science Publishers (Bentham Open),2016,10,,1-602
Open Cybernetics and Systemics Journal,-,1874110X,Bentham Science Publishers (Bentham Open),2016,10,,1-291
Open Electrical and Electronic Engineering Journal,-,18741290,Bentham Science Publishers (Bentham Open),2016,10,,1-219
Open Fuels and Energy Science Journal,1876973X,-,Bentham Science Publishers (Bentham Open),2016,9,,1-137
Open Materials Science Journal,-,1874088X,Bentham Science Publishers (Bentham Open),2016,10,,1-101
Open Mechanical Engineering Journal,-,1874155X,Bentham Science Publishers B.V.,2015,9,,1-1109
Open Petroleum Engineering Journal,18748341,-,Bentham Science Publishers (Bentham Open),2016,9,,1-323
Paiguan Jixie Gongcheng Xuebao/Journal of Drainage and Irrigation Machinery Engineering,16748530,-,Editorial Department of Journal of Drainage and Irrigation Machinery Engineering,2012,30,6,621-744
Paper Asia,02184540,-,SHPMedia Sdn Bhd,2018,34,6,17-62
Qiangjiguang Yu Lizishu/High Power Laser and Particle Beams,10014322,-,Editorial Office of High Power Laser and Particle Beams,2015,27,12,1-272
Ranshao Kexue Yu Jishu/Journal of Combustion Science and Technology,10068740,-,Tianjin University,2012,18,6,481-568
Rengong Jingti Xuebao/Journal of Synthetic Crystals,1000985X,-,Chinese Ceramic Society,2015,44,12,3375-3832
"Research Journal of Applied Sciences, Engineering and Technology",20407459,20407467,Maxwell Science Publications,2012,4,24,5304-5616
Research of Environmental Sciences,10016929,-,"Editorial Board, Research of Environmental Sciences",2015,28,12,1797-1978
Revista de la Facultad de Ingenieria,7984065,-,Universidad Central de Venezuela,2016,31,4,7-130
Revista Tecnica de la Facultad de Ingenieria Universidad del Zulia,02540770,-,Revista Tecnica de la Facultad de Ingeniera,2016,39,12,1-404
Revue des Composites et des Materiaux Avances,11697954,19585799,International Information and Engineering Technology Association,2021,31,5,265-306
Revue d'Intelligence Artificielle,0992499X,19585748,International Information and Engineering Technology Association,2020,34,5,521-671
RISTI-Revista Iberica de Sistemas e Tecnologias de Informacao,16469895,-,Associacao Iberica de Sistemas e Tecnologias de Informacao,2016,s/v,20,1-146
Sensor Letters,1546198X,15461971,American Scientific Publishers,2016,14,12,1169-1295
Sensors and Transducers,23068515,17265479,International Frequency Sensor Association,2014,174-175,7,1-326
Shenyang Gongye Daxue Xuebao/Journal of Shenyang University of Technology,10001646,-,Shenyang University of Technology,2012,34,6,601-720
Shenzhen Daxue Xuebao (Ligong Ban)/Journal of Shenzhen University Science and Engineering,10002618,-,Editorial Office of Journal of Shenzhen University,2012,29,6,471-564
Shiyan Liuti Lixue/Journal of Experiments in Fluid Mechanics,16729897,-,Zhongguo Kongqi Dongli Yanjiu yu Fazhan Zhongxin,2012,26,6,1-95
Shuili Fadian Xuebao/Journal of Hydroelectric Engineering,10031243,-,Tsinghua University Press,2012,31,6,1-304
"Studii si Cercetari Stiintifice, Chimie si Inginerie Chimica, Biotehnologii, Industrie Alimentara",1582540X,23445467,ALMA MATER Publishing House â VASILE ALECSANDRI UNIVERSITY OF BACAU,2020,21,3,321-444
Telkomnika (Telecommunication Computing Electronics and Control),16936930,23029293,Universitas Ahmad Dahlan,2016,14,4,1213-1628
Test Engineering and Management,01934120,-,Mattingley Publishing,2019,81,11-12,1-6637
Tobacco Science and Technology,10020861,-,Editorial Office of Tobacco Science and Technology,2015,48,12,1-95
"Tumu Jianzhu yu Huanjing Gongcheng/Journal of Civil, Architectural and Environmental Engineering",16744764,-,China National Publication Industry Trading Corporation,2012,34,6,1-156
WIT Transactions on Biomedicine and Health,17433525,-,WIT Press,2014,,,
WIT Transactions on Engineering Sciences,17433533,-,WIT Press,2014,88,,1-877
WIT Transactions on Information and Communication Technologies,17433517 ,-,WIT Press,2014,61,,1-2080
WIT Transactions on Modelling and Simulation ,1743355X,-,WIT Press,2014,60,,1-1396
WIT Transactions on The Built Environment ,17433509,-,WIT Press,2014,145,,1-722
World Transactions on Engineering and Technology Education,14462257,-,World Institute for Engineering and Technology Education,2016,14,4,444-567
WSEAS Transactions on Applied and Theoretical Mechanics,19918747,22243429,World Scientific and Engineering Academy and Society,2015,10,,1-219
WSEAS Transactions on Circuits and Systems,11092734,2224266X,World Scientific and Engineering Academy and Society,2014,13,,1-484
WSEAS Transactions on Communications,11092742,22242864,World Scientific and Engineering Academy and Society,2014,13,,1-671
WSEAS Transactions on Computers,11092750,22242872,World Scientific and Engineering Academy and Society,2014,13,,1-702
WSEAS Transactions on Information Science and Applications,17900832,22243402,World Scientific and Engineering Academy and Society,2014,11,,1-241
WSEAS Transactions on Mathematics,11092769,22242880,World Scientific and Engineering Academy and Society,2014,13,,1-1000
WSEAS Transactions on Signal Processing,17905052,22243488,World Scientific and Engineering Academy and Society,2014,10,,1-525
WSEAS Transactions on Systems,11092777,22242678,World Scientific and Engineering Academy and Society,2014,13,,1-766
WSEAS Transactions on Systems and Control,19918763,22242856,World Scientific and Engineering Academy and Society,2015,10,,1-452
Yingyong Kexue Xuebao/Journal of Applied Sciences,2558297,-,Shanghai Science and Technology Press,2012,30,6,559-676
Yiyong Shengwu Lixue/Journal of Medical Biomechanics,10047220,-,Shanghai Jiaotong University School of Medicine,2012,27,6,593-702
Zhenkong Kexue yu Jishu Xuebao/Journal of Vacuum Science and Technology,16727126,-,Science Press,2015,35,12,1403-1523
Zhongguo Kongjian Kexue Jishu/Chinese Space Science and Technology,1000758X,-,Chinese Academy of Space Technology,2012,32,6,1-80
